,"Montgomery, AL","Juneau, AK","Phoenix, AZ","Little Rock, AR","Sacramento, CA","Denver, CO","Hartford, CT","Dover, DE","Tallahassee, FL","Atlanta, GA","Honolulu, HI","Boise, ID","Springfield, IL","Indianapolis, IN","Des Moines, IA","Topeka, KS","Frankfort, KY","Baton Rouge, LA","Augusta, ME","Annapolis, MD","Boston, MA","Lansing, MI","St. Paul, MN","Jackson, MS","Jefferson City, MO","Helena, MT","Lincoln, NE","Carson City, NV","Concord, NH","Trenton, NJ","Santa Fe, NM","Albany, NY","Raleigh, NC","Bismarck, ND","Columbus, OH","Oklahoma City, OK","Salem, OR","Harrisburg, PA","Providence, RI","Columbia, SC","Pierre, SD","Nashville, TN","Austin, TX","Salt Lake City, UT","Montpelier, VT","Richmond, VA","Olympia, WA","Washington, DC","Charleston, WV","Madison, WI","Cheyenne, WY"
"Lansing, MI",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,334,221,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,247,-1
"St. Paul, MN",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,234,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,393,-1,-1,-1,-1,-1,-1,360,-1,-1,-1,-1,-1,-1,-1,-1,225,-1
"Jackson, MS",227,-1,-1,208,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,140,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,330,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Jefferson City, MO",-1,-1,-1,264,-1,-1,-1,-1,-1,-1,-1,-1,159,-1,221,192,397,-1,-1,-1,-1,-1,-1,-1,0,-1,286,-1,-1,-1,-1,-1,-1,-1,-1,365,-1,-1,-1,-1,-1,340,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Helena, MT",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,289,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,534,-1,-1,-1,-1,-1,-1,587,-1,-1,-1,-1,-1,516,-1,-1,-1,521
"Lincoln, NE",-1,-1,-1,-1,-1,444,-1,-1,-1,-1,-1,-1,-1,-1,169,133,-1,-1,-1,-1,-1,-1,-1,-1,286,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,308,-1,-1,-1,-1,-1,-1,-1,-1,-1,425
"Carson City, NV",-1,-1,582,-1,101,-1,-1,-1,-1,-1,-1,359,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,433,-1,-1,-1,-1,-1,-1,432,-1,-1,-1,-1,-1,-1,-1
"Concord, NH",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,116,-1,63,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,119,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,89,-1,-1,-1,-1,-1,-1
"Trenton, NJ",-1,-1,-1,-1,-1,-1,153,84,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,176,-1,-1,-1,-1,-1,113,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Santa Fe, NM",-1,-1,382,-1,-1,284,-1,-1,-1,-1,-1,-1,-1,-1,-1,610,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,475,-1,-1,-1,-1,-1,-1,605,477,-1,-1,-1,-1,-1,-1,-1
"Albany, NY",-1,-1,-1,-1,-1,-1,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,139,-1,-1,-1,-1,-1,-1,-1,119,176,-1,0,-1,-1,-1,-1,-1,231,-1,-1,-1,-1,-1,-1,126,-1,-1,-1,-1,-1,-1
"Raleigh, NC",-1,-1,-1,-1,-1,-1,-1,-1,-1,356,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,183,-1,457,-1,-1,-1,139,-1,-1,220,-1,-1
"Bismarck, ND",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,393,-1,-1,534,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,170,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Columbus, OH",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,169,-1,-1,158,-1,-1,-1,-1,208,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,324,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,133,-1,-1
"Oklahoma City, OK",-1,-1,-1,300,-1,505,-1,-1,-1,-1,-1,-1,-1,-1,-1,267,-1,-1,-1,-1,-1,-1,-1,-1,365,-1,-1,-1,-1,-1,475,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,359,-1,-1,-1,-1,-1,-1,-1,-1
"Salem, OR",-1,-1,-1,-1,446,-1,-1,-1,-1,-1,2561,351,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,433,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,145,-1,-1,-1,-1
"Harrisburg, PA",-1,-1,-1,-1,-1,-1,-1,106,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,113,-1,231,-1,-1,324,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,95,287,-1,-1
"Providence, RI",-1,-1,-1,-1,-1,-1,65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Columbia, SC",-1,-1,-1,-1,-1,-1,-1,-1,-1,194,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,183,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Pierre, SD",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,391,-1,-1,-1,-1,-1,-1,-1,360,-1,-1,587,308,-1,-1,-1,-1,-1,-1,170,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,318
"Nashville, TN",262,-1,-1,326,-1,-1,-1,-1,-1,215,-1,-1,295,-1,-1,-1,176,-1,-1,-1,-1,-1,-1,330,340,-1,-1,-1,-1,-1,-1,-1,457,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,1283,-1,-1,-1,-1,-1
"Austin, TX",-1,-1,-1,443,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,392,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,605,-1,-1,-1,-1,359,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
"Salt Lake City, UT",-1,-1,504,-1,-1,371,-1,-1,-1,-1,-1,296,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,432,-1,-1,477,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,371
"Montpelier, VT",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,180,-1,152,-1,-1,-1,-1,-1,-1,-1,89,-1,-1,126,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
"Richmond, VA",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,409,-1,-1,112,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,139,-1,-1,-1,-1,-1,-1,-1,-1,1283,-1,-1,-1,0,-1,97,236,-1,-1
"Olympia, WA",-1,914,-1,-1,-1,-1,-1,-1,-1,-1,2637,403,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,516,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,145,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1
"Washington, DC",-1,-1,-1,-1,-1,-1,-1,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,95,-1,-1,-1,-1,-1,-1,-1,97,-1,0,252,-1,-1
"Charleston, WV",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,176,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,220,-1,133,-1,-1,287,-1,-1,-1,-1,-1,-1,-1,236,-1,252,0,-1,-1
"Madison, WI",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,227,-1,239,-1,-1,-1,-1,-1,-1,247,225,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
"Cheyenne, WY",-1,-1,-1,-1,-1,97,-1,-1,-1,-1,-1,606,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,521,425,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,318,-1,-1,371,-1,-1,-1,-1,-1,-1,0
